page_id,bucket,chars,tokens,n_edits
we00068,unmatched,2061,605,24
we00068,dead_props,313,89,8
we00070,unmatched,37,14,1
we00072,unmatched,2005,553,23
we00072,selector_trim,394,109,8
we00072,dead_props,65,19,1
we00073,unmatched,820,231,9
we00073,dead_props,14,3,1
we00073,selector_trim,86,51,3
we00076,selector_trim,462,122,10
we00076,unmatched,1161,340,11
we00076,dead_props,65,19,1
we00077,selector_trim,6,4,1
we00079,unmatched,845,243,11
we00079,selector_trim,197,46,7
we00079,dead_props,53,14,2
we00080,selector_trim,114,28,2
we00080,unmatched,53,14,1
we00081,selector_trim,225,62,10
we00081,unmatched,68,20,1
we00082,selector_trim,9,6,1
we00083,selector_trim,629,194,13
we00083,unmatched,680,180,10
we00083,dead_props,227,70,6
we00084,selector_trim,225,62,10
we00084,unmatched,68,20,1
we00086,unmatched,313,111,3
we00087,dead_props,26,8,1
we00088,selector_trim,6,4,1
we00088,unmatched,1393,469,15
we00088,dead_props,114,36,5
we00090,selector_trim,959,353,17
we00090,unmatched,603,184,6
we00090,dead_props,100,26,4
we00091,selector_trim,44,10,3
we00091,unmatched,1861,607,12
we00091,dead_props,166,41,10
we00092,unmatched,737,197,11
we00092,selector_trim,512,166,13
we00092,dead_props,213,62,4
we00093,unmatched,353,97,4
we00093,selector_trim,15,10,1
we00094,unmatched,611,194,7
we00094,dead_props,19,7,1
we00095,unmatched,2512,710,29
we00095,selector_trim,118,26,6
we00096,selector_trim,825,257,18
we00096,unmatched,909,246,13
we00096,dead_props,256,76,8
we00097,selector_trim,1117,353,15
we00097,unmatched,1465,407,18
we00097,dead_props,250,77,5
we00098,unmatched,108,26,3
we00098,selector_trim,58,17,2
we00099,selector_trim,188,51,6
we00099,unmatched,284,82,5
we00099,dead_props,15,3,1
