page_id,kind,el_id,kept,blacklisted
we00006,collapse,156,True,False
we00006,collapse,161,True,False
we00006,collapse,166,True,False
we00006,collapse,170,True,False
we00008,remove,45,True,False
we00008,remove,46,True,False
we00008,remove,58,True,False
we00008,remove,96,True,False
we00008,remove,118,False,True
we00008,remove,122,True,False
we00008,remove,124,False,True
we00008,remove,125,False,True
we00008,remove,126,False,True
we00008,remove,127,False,True
we00008,remove,129,False,True
we00008,remove,130,False,True
we00008,remove,133,False,True
we00008,remove,134,False,True
we00008,remove,146,True,False
we00008,remove,174,False,True
we00008,remove,175,False,True
we00008,remove,176,False,True
we00008,remove,178,True,False
we00008,remove,261,False,True
we00008,remove,264,True,False
we00008,remove,272,False,True
we00008,remove,273,False,True
we00008,remove,276,False,True
we00008,remove,277,False,True
we00008,collapse,59,False,False
we00008,collapse,104,False,True
we00008,collapse,7,False,False
we00008,collapse,10,False,False
we00008,collapse,94,False,False
we00008,collapse,98,False,False
we00008,collapse,143,False,False
we00008,collapse,148,False,False
we00008,collapse,257,False,False
we00008,collapse,278,False,True
we00008,collapse,6,False,False
we00008,collapse,66,False,False
we00008,collapse,99,False,False
we00008,collapse,117,False,False
we00008,collapse,137,False,False
we00008,collapse,147,False,False
we00008,collapse,167,False,False
we00008,collapse,3,False,False
we00009,remove,12,True,False
we00009,remove,25,True,False
we00009,remove,34,True,False
we00009,remove,60,True,False
we00009,remove,69,False,True
we00009,remove,126,False,True
we00009,remove,128,False,True
we00009,remove,133,False,True
we00009,remove,136,False,True
we00009,remove,146,False,True
we00009,remove,147,False,True
we00009,remove,149,False,True
we00009,collapse,79,False,True
we00009,collapse,70,False,True
we00009,collapse,77,False,True
we00009,collapse,76,False,True
we00009,collapse,4,False,True
we00009,collapse,73,False,True
we00010,remove,4,True,False
we00010,remove,33,True,False
we00010,remove,70,True,False
we00010,remove,71,True,False
we00010,remove,128,True,False
we00010,remove,131,True,False
we00010,remove,134,True,False
we00010,remove,137,True,False
we00010,collapse,46,True,False
we00010,collapse,43,True,False
we00010,collapse,85,True,False
we00010,collapse,100,False,True
we00010,collapse,76,False,True
we00010,collapse,79,False,True
we00010,collapse,83,False,True
we00010,collapse,98,False,True
we00010,collapse,34,False,True
we00010,collapse,41,False,True
we00010,collapse,75,False,True
we00010,collapse,82,False,True
we00010,collapse,97,False,True
we00010,collapse,40,False,True
we00010,collapse,37,False,True
we00011,remove,26,True,False
we00011,remove,33,True,False
we00011,remove,42,True,False
we00011,remove,51,False,True
we00011,remove,67,False,True
we00011,collapse,75,False,True
we00011,collapse,52,False,True
we00011,collapse,61,False,True
we00011,collapse,72,False,True
we00011,collapse,83,False,True
we00011,collapse,8,False,True
we00011,collapse,56,False,True
we00011,collapse,1,False,True
we00012,remove,1,True,False
we00012,remove,11,True,False
we00012,remove,21,True,False
we00012,remove,31,True,False
we00012,remove,41,True,False
we00012,remove,51,True,False
we00012,remove,61,True,False
we00012,remove,71,True,False
we00012,remove,81,True,False
we00012,remove,91,True,False
we00012,remove,101,True,False
we00012,remove,111,True,False
we00012,remove,121,True,False
we00012,remove,131,True,False
we00012,remove,158,True,False
we00012,remove,196,True,False
we00012,collapse,159,True,False
we00012,collapse,155,True,False
we00012,collapse,154,True,False
we00012,collapse,194,True,False
we00012,collapse,193,False,True
we00012,collapse,227,False,True
we00012,collapse,143,False,True
we00012,collapse,164,False,True
we00012,collapse,168,False,True
we00012,collapse,182,False,True
we00012,collapse,141,False,True
we00013,remove,9,False,True
we00013,remove,13,False,True
we00013,remove,19,False,True
we00013,remove,22,False,True
we00013,remove,24,False,True
we00013,remove,26,False,True
we00013,remove,28,False,True
we00013,remove,30,False,True
we00013,remove,32,False,True
we00013,remove,34,False,True
we00013,remove,35,False,True
we00013,remove,37,False,True
we00013,remove,38,False,False
we00013,remove,41,False,True
we00013,remove,43,False,True
we00013,remove,46,False,True
we00013,remove,47,False,True
we00013,remove,49,False,False
we00013,remove,51,False,True
we00013,remove,53,False,False
we00013,remove,54,False,True
we00013,remove,56,False,True
we00013,remove,58,False,True
we00013,remove,60,False,True
we00013,remove,62,False,True
we00013,remove,63,False,True
we00013,remove,64,False,True
we00013,remove,66,False,True
we00013,remove,103,True,False
we00013,remove,117,True,False
we00013,remove,133,True,False
we00013,remove,167,False,True
we00013,remove,169,False,True
we00013,remove,172,False,True
we00013,remove,173,False,True
we00013,remove,174,False,True
we00013,remove,177,False,True
we00013,remove,178,False,True
we00013,remove,180,False,True
we00013,remove,181,False,False
we00013,remove,184,False,False
we00013,remove,185,False,False
we00013,remove,186,False,False
we00013,collapse,20,False,False
we00014,remove,27,True,False
we00014,remove,34,True,False
we00014,remove,55,True,False
we00014,remove,68,True,False
we00014,remove,72,False,True
we00014,remove,105,False,True
we00014,remove,121,False,True
we00014,remove,141,False,True
we00014,remove,177,False,True
we00014,remove,180,False,True
we00014,remove,183,False,True
we00014,collapse,56,False,True
we00014,collapse,104,False,True
we00014,collapse,65,False,True
we00014,collapse,62,False,True
we00014,collapse,61,False,True
we00014,collapse,58,False,True
we00014,collapse,2,False,True
we00014,collapse,1,False,True
we00015,remove,19,True,False
we00015,remove,28,True,False
we00015,remove,39,True,False
we00015,remove,67,True,False
we00015,remove,96,False,True
we00015,remove,99,True,False
we00015,remove,103,True,False
we00015,remove,115,True,False
we00015,remove,120,True,False
we00015,collapse,29,True,False
we00015,collapse,40,True,False
we00015,collapse,54,True,False
we00015,collapse,60,True,False
we00015,collapse,64,True,False
we00015,collapse,51,True,False
we00015,collapse,63,True,False
we00015,collapse,97,True,False
we00015,collapse,49,False,True
we00015,collapse,48,True,False
we00015,collapse,45,True,False
we00015,collapse,2,False,True
we00016,remove,3,True,False
we00016,remove,23,True,False
we00016,remove,24,True,False
we00016,remove,91,False,False
we00016,remove,110,False,False
we00016,remove,116,False,False
we00016,remove,118,True,False
we00016,remove,120,True,False
we00016,remove,129,True,False
we00016,remove,130,True,False
we00016,remove,131,True,False
we00016,remove,135,True,False
we00016,remove,138,True,False
we00016,remove,146,False,True
we00016,collapse,53,False,True
we00016,collapse,60,False,True
we00016,collapse,67,False,True
we00016,collapse,74,False,True
we00016,collapse,81,False,True
we00016,collapse,88,False,True
we00016,collapse,51,False,True
we00016,collapse,58,False,True
we00016,collapse,65,False,True
we00016,collapse,72,False,True
we00016,collapse,79,False,True
we00016,collapse,86,False,True
we00016,collapse,50,True,False
we00016,collapse,57,True,False
we00016,collapse,64,True,False
we00016,collapse,71,True,False
we00016,collapse,78,True,False
we00016,collapse,85,True,False
we00016,collapse,46,True,False
we00016,collapse,48,True,False
we00016,collapse,55,True,False
we00016,collapse,62,True,False
we00016,collapse,69,True,False
we00016,collapse,76,True,False
we00016,collapse,83,True,False
we00016,collapse,100,False,True
we00016,collapse,125,False,True
we00016,collapse,98,False,True
we00016,collapse,124,False,True
we00016,collapse,93,False,True
we00016,collapse,97,False,True
we00016,collapse,5,False,True
we00016,collapse,4,False,True
we00016,collapse,90,False,True
we00016,collapse,2,False,True
we00016,collapse,33,False,True
we00016,collapse,1,False,True
we00016,collapse,32,False,True
we00018,remove,1,True,False
we00018,remove,13,True,False
we00018,remove,16,False,True
we00018,remove,17,True,False
we00018,remove,18,False,True
we00018,remove,19,False,True
we00018,remove,20,False,True
we00018,remove,21,False,True
we00018,remove,22,False,True
we00018,remove,23,False,True
we00018,remove,24,False,True
we00018,remove,25,False,True
we00018,remove,26,False,True
we00018,remove,27,False,True
we00018,remove,28,False,True
we00018,remove,29,False,True
we00018,remove,30,False,True
we00018,remove,31,False,True
we00018,remove,32,False,True
we00018,remove,33,False,True
we00018,remove,36,False,True
we00018,remove,37,False,True
we00018,remove,38,False,True
we00018,remove,39,True,False
we00018,remove,43,True,False
we00018,remove,44,False,True
we00018,remove,45,False,True
we00018,remove,47,False,True
we00018,remove,49,False,True
we00018,remove,51,False,True
we00018,remove,52,True,False
we00018,remove,54,False,True
we00018,remove,55,True,False
we00018,remove,57,False,True
we00018,remove,58,False,True
we00018,remove,60,False,True
we00018,remove,61,False,True
we00018,remove,62,False,True
we00018,remove,63,False,True
we00018,remove,64,False,True
we00018,remove,65,False,False
we00018,remove,66,False,False
we00018,remove,67,False,False
we00018,remove,80,False,False
we00018,remove,84,False,False
we00018,remove,91,False,False
we00018,remove,92,False,False
we00018,remove,93,False,False
we00018,remove,94,False,False
we00018,remove,95,False,False
we00018,remove,96,False,False
we00018,remove,97,False,False
we00018,remove,98,False,False
we00018,remove,103,False,False
we00018,remove,110,False,False
we00018,remove,111,False,False
we00018,remove,160,False,False
we00018,remove,164,False,False
we00018,remove,166,False,False
we00018,collapse,101,False,False
we00018,collapse,114,False,False
we00018,collapse,86,False,False
we00018,collapse,99,False,False
we00018,collapse,105,False,False
we00018,collapse,112,False,False
we00018,collapse,34,False,False
we00018,collapse,73,False,False
we00018,collapse,76,False,False
we00018,collapse,133,False,False
we00018,collapse,10,False,False
we00018,collapse,132,False,False
we00018,collapse,163,False,False
we00018,collapse,4,False,False
we00018,collapse,9,False,False
we00018,collapse,120,False,False
we00018,collapse,131,False,False
we00018,collapse,162,False,False
we00018,collapse,3,False,False
we00018,collapse,8,False,False
we00018,collapse,119,False,False
we00018,collapse,2,False,False
we00019,remove,1,False,True
we00019,remove,13,False,True
we00019,remove,15,False,True
we00019,remove,16,False,True
we00019,remove,22,False,True
we00019,remove,25,False,True
we00019,remove,41,False,True
we00019,remove,54,False,True
we00019,remove,176,False,True
we00019,remove,181,False,True
we00019,remove,182,False,True
we00019,collapse,52,False,True
we00019,collapse,47,False,True
we00019,collapse,73,False,True
we00019,collapse,76,False,True
we00019,collapse,72,False,True
we00019,collapse,28,False,True
we00019,collapse,81,False,True
we00019,collapse,86,True,False
we00019,collapse,91,True,False
we00019,collapse,96,True,False
we00019,collapse,101,True,False
we00019,collapse,106,True,False
we00019,collapse,111,True,False
we00019,collapse,116,True,False
we00019,collapse,121,True,False
we00019,collapse,126,True,False
we00019,collapse,131,True,False
we00019,collapse,136,True,False
we00019,collapse,141,True,False
we00019,collapse,146,True,False
we00019,collapse,151,True,False
we00019,collapse,156,True,False
we00019,collapse,161,True,False
we00019,collapse,166,True,False
we00019,collapse,170,True,False
