page_id,chars_total,tokens_total,chars_text,tokens_text,chars_css,tokens_css,chars_class_attrs,tokens_class_attrs,chars_style_attrs,tokens_style_attrs,chars_other_attrs,tokens_other_attrs,chars_tags,tokens_tags,chars_comments,tokens_comments,chars_scripts,tokens_scripts,chars_whitespace,tokens_whitespace,n_elements,n_wrapper_candidates,depth_mean,depth_max
we00064,12344,3941,2968,785,2112,797,1853,611,490,179,830,319,3283,1006,0,0,0,0,808,228,262,12,10.67,17
we00065,11642,4230,1301,756,6118,2011,1237,314,253,75,546,171,2072,846,0,0,0,0,115,3,200,54,11.11,14
we00066,4567,1387,141,42,1768,615,1192,248,21,5,684,216,721,246,0,0,0,0,40,2,54,23,9.0,15
we00067,12140,4451,2016,906,5534,2059,1978,503,60,30,600,244,1641,630,0,0,0,0,311,6,150,17,7.87,11
we00068,16445,4852,2145,640,8958,2855,2998,689,38,8,682,248,1168,453,0,0,0,0,456,5,103,25,9.88,18
we00069,9286,2884,1671,537,1389,463,895,206,1518,497,1444,458,2027,736,0,0,0,0,342,24,199,18,12.69,18
we00070,11456,2909,5557,1607,876,281,2010,451,88,29,420,171,1486,551,0,0,0,0,1019,15,123,22,8.37,13
we00071,10417,2895,2654,690,820,265,3161,736,159,47,648,226,2543,959,0,0,0,0,432,32,238,53,8.4,12
we00072,14137,4006,2614,778,5181,1558,1538,313,640,184,698,247,2845,946,0,0,0,0,621,7,160,25,7.24,14
we00073,17137,4570,3860,1142,5780,1689,4374,1012,644,204,346,155,1353,505,0,0,0,0,780,14,116,23,8.17,15
we00074,9915,2923,4210,1234,1893,744,885,243,496,176,215,66,1392,522,0,0,0,0,824,25,139,26,7.46,14
we00075,3937,1136,1461,327,1050,354,66,16,371,96,0,0,766,328,0,0,0,0,223,4,74,5,6.16,8
we00076,12565,3386,3168,930,5138,1557,2013,426,0,0,444,168,1145,404,0,0,0,0,657,9,90,25,8.78,14
we00077,15349,4958,679,233,2978,975,3426,771,3980,1553,673,205,3417,1261,0,0,0,0,196,11,281,143,13.6,19
we00078,6366,1812,4285,1302,642,252,52,19,0,0,0,0,488,212,0,0,0,0,899,11,51,3,5.63,8
we00079,10884,3327,1397,426,4106,1390,1864,398,0,0,1006,336,2170,767,0,0,0,0,341,8,186,29,9.9,14
we00080,9834,2909,1228,293,1184,395,3883,907,0,0,1218,438,2133,846,0,0,0,0,188,7,201,53,10.05,14
we00081,9436,3368,1736,723,4374,1461,664,184,55,14,728,291,1544,653,0,0,0,0,335,22,170,9,6.58,9
we00082,6023,1910,1141,355,1543,540,1128,251,413,175,439,143,1163,438,0,0,0,0,196,15,100,24,8.0,14
we00083,17428,5228,2374,720,6850,2168,2944,641,1309,429,637,217,2917,1032,0,0,0,0,397,7,244,47,12.36,16
we00084,9436,3368,1736,723,4374,1461,664,184,55,14,728,291,1544,653,0,0,0,0,335,22,170,9,6.58,9
we00085,6526,1999,1180,319,2982,836,172,41,770,268,252,81,992,436,0,0,0,0,178,17,106,11,7.81,11
we00086,5102,1704,345,83,3227,1149,434,94,138,27,222,97,634,243,0,0,0,0,102,6,57,14,6.04,9
we00087,8862,2647,2452,732,934,308,107,28,3002,981,523,223,1247,481,0,0,0,0,597,23,121,1,10.06,15
we00088,11167,3645,918,294,6559,2213,1171,259,213,56,228,85,1571,601,0,0,0,0,507,32,144,36,10.78,14
we00089,4725,1700,734,205,769,280,148,39,516,194,1082,525,1313,493,0,0,0,0,163,33,128,10,6.85,12
we00090,22030,6864,734,212,11039,3660,5419,1322,640,184,993,361,3113,1105,0,0,0,0,92,4,200,46,10.27,17
we00091,22907,8292,670,182,13836,4817,5083,1962,229,69,1140,621,1848,631,0,0,0,0,101,3,145,40,8.53,12
we00092,15432,4239,4463,1260,6553,2117,1899,413,0,0,431,139,1083,428,0,0,0,0,1003,10,100,21,10.13,15
we00093,13723,3348,4546,1267,3866,1071,2761,549,532,171,201,101,925,373,0,0,0,0,892,16,85,22,7.22,13
we00094,11578,2966,3060,765,3406,1138,2018,479,132,28,43,12,1416,546,0,0,0,0,1503,56,131,24,7.34,10
we00095,17075,4842,1190,252,8965,2751,4501,995,0,0,657,227,1592,598,0,0,0,0,170,4,137,31,7.72,12
we00096,12914,3920,519,155,8540,2707,2005,435,0,0,679,216,1067,391,0,0,0,0,104,7,90,26,8.8,12
we00097,15166,4418,2797,785,8256,2657,1953,449,0,0,626,218,1012,398,0,0,0,0,522,6,91,22,9.29,15
we00098,9839,2729,2285,648,1556,515,2670,563,81,20,901,314,1945,702,0,0,0,0,401,10,156,33,9.33,13
we00099,6660,2025,673,163,3963,1334,716,163,0,0,375,119,803,250,0,0,0,0,130,4,62,18,7.95,13
