page_id,identical,shape_a,shape_b,diff_pixels,status
we00053,True,"(2293, 1280, 3)","(2293, 1280, 3)",0,ok
we00054,True,"(1183, 1280, 3)","(1183, 1280, 3)",0,ok
we00055,True,"(1579, 1280, 3)","(1579, 1280, 3)",0,ok
we00056,True,"(970, 1280, 3)","(970, 1280, 3)",0,ok
we00057,True,"(3202, 1280, 3)","(3202, 1280, 3)",0,ok
we00058,True,"(1506, 1292, 3)","(1506, 1292, 3)",0,ok
we00059,True,"(1090, 1280, 3)","(1090, 1280, 3)",0,ok
we00060,True,"(1767, 1288, 3)","(1767, 1288, 3)",0,ok
we00061,True,"(1956, 1280, 3)","(1956, 1280, 3)",0,ok
we00062,True,"(831, 1280, 3)","(831, 1280, 3)",0,ok
we00063,True,"(1538, 1280, 3)","(1538, 1280, 3)",0,ok
we00064,True,"(1168, 1280, 3)","(1168, 1280, 3)",0,ok
we00065,True,"(1527, 1280, 3)","(1527, 1280, 3)",0,ok
we00066,True,"(1627, 1280, 3)","(1627, 1280, 3)",0,ok
we00067,True,"(2165, 1280, 3)","(2165, 1280, 3)",0,ok
we00068,True,"(800, 1280, 3)","(800, 1280, 3)",0,ok
we00069,True,"(1051, 1280, 3)","(1051, 1280, 3)",0,ok
we00070,True,"(1710, 1280, 3)","(1710, 1280, 3)",0,ok
we00071,True,"(2305, 1280, 3)","(2305, 1280, 3)",0,ok
we00072,True,"(1053, 1280, 3)","(1053, 1280, 3)",0,ok
we00073,True,"(1634, 1280, 3)","(1634, 1280, 3)",0,ok
we00074,True,"(1942, 1280, 3)","(1942, 1280, 3)",0,ok
we00075,True,"(1153, 1280, 3)","(1153, 1280, 3)",0,ok
we00076,True,"(1298, 1280, 3)","(1298, 1280, 3)",0,ok
we00077,True,"(1134, 1280, 3)","(1134, 1280, 3)",0,ok
we00078,True,"(1265, 1280, 3)","(1265, 1280, 3)",0,ok
we00079,True,"(1305, 1280, 3)","(1305, 1280, 3)",0,ok
we00080,True,"(1331, 1280, 3)","(1331, 1280, 3)",0,ok
we00081,True,"(1400, 1280, 3)","(1400, 1280, 3)",0,ok
we00082,True,"(1344, 1280, 3)","(1344, 1280, 3)",0,ok
we00083,True,"(2170, 1280, 3)","(2170, 1280, 3)",0,ok
we00084,True,"(1400, 1280, 3)","(1400, 1280, 3)",0,ok
we00085,True,"(838, 1280, 3)","(838, 1280, 3)",0,ok
we00086,True,"(970, 1280, 3)","(970, 1280, 3)",0,ok
we00087,True,"(2836, 1280, 3)","(2836, 1280, 3)",0,ok
we00088,True,"(1347, 1280, 3)","(1347, 1280, 3)",0,ok
we00089,True,"(1098, 1280, 3)","(1098, 1280, 3)",0,ok
we00090,True,"(800, 1280, 3)","(800, 1280, 3)",0,ok
we00091,True,"(1459, 1280, 3)","(1459, 1280, 3)",0,ok
we00092,True,"(2097, 1280, 3)","(2097, 1280, 3)",0,ok
we00093,True,"(2094, 1280, 3)","(2094, 1280, 3)",0,ok
we00094,True,"(1619, 1280, 3)","(1619, 1280, 3)",0,ok
we00095,True,"(1935, 1280, 3)","(1935, 1280, 3)",0,ok
we00096,True,"(1459, 1280, 3)","(1459, 1280, 3)",0,ok
we00097,True,"(1344, 1280, 3)","(1344, 1280, 3)",0,ok
we00098,True,"(1645, 1280, 3)","(1645, 1280, 3)",0,ok
we00099,True,"(1163, 1280, 3)","(1163, 1280, 3)",0,ok
